service,2022-W00,2022-W01,2022-W02,2022-W03,2022-W04,2022-W05,2022-W06,2022-W07,2022-W08,2022-W09,2022-W10,2022-W11,2022-W12,2022-W13,2022-W14,2022-W15,2022-W16,2022-W17,2022-W18,2022-W19,2022-W20,2022-W21,2022-W22,2022-W23,2022-W24,2022-W25,2022-W26,2022-W27,2022-W28,2022-W29,2022-W30,2022-W31,2022-W32,2022-W33,2022-W34,2022-W35,2022-W36,2022-W37,2022-W38,2022-W39,2022-W40,2022-W41,2022-W42,2022-W43,2022-W44,2022-W45,2022-W46,2022-W47,2022-W48,2022-W49,2022-W50,2022-W51,2022-W52
vimeo,1178,7698,7153,8439,6243,16994,9183,18372,7183,25811,10415,7808,13969,18206,21039,12458,12419,15436,12654,11920,12066,12056,13857,9358,9116,9878,6489,4599,6024,8254,5669,11859,15930,5112,7065,30121,6104,7700,6522,6766,9856,11493,11614,9190,10646,10777,9537,12224,12588,16028,5044,6108,1504
visualstudio-insights,1909,7683,7387,11226,2049,11848,12061,14543,11338,14946,14768,12963,16015,18016,16672,14529,14991,16845,16650,15042,13373,12734,13847,11810,12106,11132,9377,7096,8511,9040,8817,8454,7752,7842,7813,8213,8985,9244,10402,10280,11010,11725,11781,10149,12349,12385,10404,12346,12340,11735,6172,8152,2062
vmware-vcsa,7073,20614,20471,23943,12647,23647,25664,28345,19852,23478,23625,22246,25770,24026,25774,25755,26100,25720,26413,26211,26537,26601,27112,27405,28277,27570,26149,27524,27424,27195,25785,27119,28198,28694,31831,22062,31431,35298,35565,35723,32179,29603,30286,28604,30246,20258,27750,30061,29360,28525,18900,30183,8689
vsb-sso,5145,13923,12504,15146,4449,22138,12055,9927,10014,12813,10637,14356,15812,13253,10964,6365,11891,16244,20994,23595,21637,14759,12849,15152,14090,7330,6285,6508,9470,6605,7218,7534,8715,9611,10433,14738,16602,35717,25594,18715,16970,15185,12889,14165,13566,11371,9455,9720,12903,17588,4575,5741,1760
vscode-update,280,1462,1340,1653,411,1852,1281,2801,2781,3227,2309,2807,4034,3498,3055,2238,3453,4544,3793,2341,2074,2088,2746,2070,1414,831,213,60,146,113,97,157,102,120,123,124,117,218,295,337,345,666,796,242,408,565,266,340,265,301,228,164,23
vse-insis,7319,28853,22764,26338,8932,29086,27383,28292,15177,19133,22007,17981,19139,19796,18175,15216,21533,23575,23487,28794,27885,26589,26460,25376,29138,22067,15692,11386,9763,8753,10001,9744,11244,14591,20227,28451,33399,33162,35852,23699,20954,19231,19231,18422,23143,25619,20695,21987,24551,24712,19459,21734,6000
vzp-api,962,6547,7086,8828,2592,12636,12822,11073,9169,11491,10680,10308,14477,14661,25965,9138,9055,11582,15875,19003,14789,14904,16190,15525,14964,13577,11615,11033,10767,9903,9688,10463,9089,9706,9341,10333,10692,10749,10900,9582,10622,9006,10450,9561,11484,11303,9165,10489,5331,11304,3895,7687,1841
webex,1603,9554,9763,12793,7388,11266,13623,12988,14032,24544,22641,13579,16865,17014,18688,16081,19258,20552,21664,17427,17796,16586,14011,13247,13246,12679,12236,7867,9375,7911,11556,11265,10332,10673,12220,10918,12637,14876,16239,14533,15000,14962,17852,13844,17623,15722,11423,15475,15515,15274,5527,9040,1940
whatsapp,5858,33156,27227,27764,14252,27469,39297,49511,38229,50658,42794,44150,58504,58693,49638,17383,30313,39065,57306,45556,21173,14762,14478,15668,26148,41291,35551,26215,32330,32148,32427,25708,27856,26965,28417,31666,35491,42421,41740,36071,39494,37201,36801,33085,38205,38803,34197,41683,42986,44591,5821,10633,1732
xbox-live,3422,17218,21504,21452,7013,23540,29607,33965,24228,36341,35090,29778,46573,42504,43080,29681,34515,39557,34973,34527,49846,36945,35748,37853,34320,30153,22592,18471,27071,27004,28535,28661,26975,29515,34873,32285,32726,40801,54191,56303,44008,42426,43552,37890,46761,49518,40503,52799,47819,38672,19532,25472,5456
xiaomi-accounts,1255,10791,10757,13456,8402,10601,12668,17509,13885,19080,18911,17321,24368,23686,25609,20873,25738,25229,24842,23440,21612,20388,18421,17029,16019,14564,9986,6675,10058,8544,8350,9178,10901,10797,11520,10258,16289,22021,17551,7619,7061,6725,6587,5100,6342,5141,4508,6295,7377,7173,3846,4375,803
xiaomi-tracking,2170,16225,11409,13308,8020,9762,11219,14777,12862,22794,21681,16285,17447,22900,24781,14474,20531,23289,22508,21952,20155,18271,18287,17791,16829,13288,6875,2972,5981,6232,6143,6036,6246,5862,6338,6618,6577,6627,7614,6934,10786,13134,15117,13223,16755,16585,14125,16362,15983,11404,2233,8840,1873
youtube,12021,64989,94835,90793,50929,74638,265712,363605,245704,392118,401669,273805,270326,285229,281929,160814,236934,307496,434689,280066,273290,263963,248795,226275,211164,225852,158579,125962,164332,167033,169412,161828,221779,155421,182709,176210,242808,205790,155159,143647,175317,182644,185743,158341,133821,191676,152311,191882,185654,177687,98384,81507,8620
zoom,1425,11749,11457,12254,8196,11164,12410,13861,13316,21840,22548,17134,23117,25831,23477,19759,18738,23309,22615,21663,18486,16980,15442,14844,14500,13121,10368,6423,8188,7974,7751,7005,7021,7569,8514,8724,11906,13401,15376,14743,17370,17475,17471,14350,18531,19886,16653,18453,17861,19905,6289,6912,1626
zotero,423,5211,4557,5370,4504,6352,6607,7060,5330,7322,5610,6407,8435,8261,8769,6391,7142,8400,7921,8152,8047,7089,7202,8394,12596,6479,5035,4150,6067,5574,6762,6209,6348,6851,6825,6037,6565,6441,6628,7077,8038,7789,9410,7500,13112,12249,9045,10120,9392,9542,2354,4734,920
